Organism,Gene A,Gene B,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high,BDPS
S. aureus,mco,lnuB,0.652,0.103,0.632,0.673,25.456,5.692,24.327,26.586,2.464565331
S. aureus,arsR,glpT_V213I,0.382,0.092,0.364,0.401,11.93,3.013,11.332,12.528,2.234257119
S. aureus,cadC,dfrS1,0.498,0.069,0.484,0.512,13.898,2.753,13.352,14.444,1.6255473
S. aureus,cadC,mphC,0.841,0.035,0.834,0.848,138.789,65.348,125.823,151.756,0.958504775
S. aureus,cadC,msrA,0.841,0.037,0.834,0.848,142.183,58.729,130.53,153.836,0.956242267
S. aureus,merB,mphC,0.324,0.046,0.315,0.333,17.975,3.297,17.321,18.629,0.650580898
S. aureus,merB,msrA,0.323,0.045,0.314,0.332,17.979,3.501,17.284,18.674,0.645944275
S. aureus,merT,msrA,0.328,0.044,0.319,0.337,19.114,3.84,18.352,19.876,0.643062117
S. aureus,merA,msrA,0.324,0.042,0.316,0.332,18.555,3.174,17.925,19.185,0.642433527
S. aureus,merA,mphC,0.32,0.04,0.312,0.328,18.176,3.413,17.499,18.853,0.636205553
S. aureus,cadC,sat4,0.564,0.042,0.556,0.572,103.849,38.516,96.207,111.492,0.633222367
S. aureus,merT,mphC,0.324,0.043,0.315,0.332,18.711,3.356,18.045,19.377,0.630484464
S. aureus,cadC,aph3p_IIIa,0.501,0.039,0.493,0.508,86.18,30.188,80.19,92.17,0.564315005
E. faecalis,cadA,lnuG,0.175,0.048,0.055,0.295,25.268,8.444,4.292,46.244,0.529204078
S. aureus,arsC,blaPC1,0.336,0.037,0.329,0.344,18.961,3.946,18.178,19.744,0.521896618
S. aureus,cadC,ant6_Ia,0.448,0.038,0.441,0.456,77.653,30.089,71.682,83.623,0.505943064
S. aureus,arsB,blaPC1,0.335,0.038,0.328,0.343,23.801,6.425,22.526,25.076,0.4850003
E. faecalis,merA,blaPC1,0.218,0.066,0.054,0.383,88.227,8.710,66.590,109.865,0.460330036
S. aureus,merB,sat4,0.324,0.042,0.315,0.332,39.042,15.61,35.944,42.139,0.426332251
S. aureus,merA,sat4,0.324,0.043,0.316,0.333,40.054,15.286,37.021,43.087,0.42581261
S. aureus,merT,sat4,0.328,0.039,0.32,0.336,43.36,14.678,40.448,46.273,0.422541329
S. aureus,arsR,blaPC1,0.331,0.037,0.323,0.338,42.202,16.139,39,45.405,0.41811892
S. aureus,merB,aph3p_IIIa,0.291,0.038,0.283,0.298,34.685,11.587,32.386,36.984,0.382118059
S. aureus,merT,aph3p_IIIa,0.29,0.036,0.283,0.297,38.825,15.384,35.772,41.877,0.374810734
S. aureus,merB,ant6_Ia,0.269,0.034,0.262,0.275,35.292,13.881,32.538,38.047,0.343412029
S. aureus,merT,ant6_Ia,0.27,0.033,0.263,0.276,39.698,12.923,37.134,42.263,0.337162183
S. aureus,arsB,blaR1,0.227,0.024,0.223,0.232,16.009,4.101,15.195,16.823,0.324350848
S. aureus,mco,spw,0.927,0.061,0.915,0.939,36.83,5.463,35.746,37.914,ND
S. aureus,arsR,vgaE,0.669,0.23,0.623,0.714,18.582,7.068,17.179,19.985,ND
S. aureus,arsB,fexA,0.641,0.09,0.623,0.658,18.119,3.734,17.378,18.86,ND
S. aureus,arsB,vgaE,0.747,0.163,0.714,0.779,17.775,4.522,16.878,18.673,ND
S. aureus,arsB,dfrE,0.658,0.234,0.612,0.705,16.047,6.185,14.819,17.274,ND
S. aureus,arsC,vgaE,0.688,0.163,0.655,0.72,15.181,4.141,14.359,16.003,ND
S. aureus,arsC,ermC,0.528,0.125,0.504,0.553,12.072,3.177,11.441,12.702,ND
